city,STUSAB,HD,LO,place,name,zipcode,income_per_capita,population,under44_1,under44_2,under44_3,older65_1,older_65_2
Liberty Lake,WA,1,,39335,"Liberty Lake city, Washington",99019,40564,9382,344,1439,1171,756,525
Lihue,HI,1,,45200,"Lihue CDP, Hawaii",96766,31117,7381,386,759,796,643,631
Lilburn,GA,2,1,46356,"Lilburn city, Georgia",30047,23241,12561,935,1894,1697,907,532
Lima,OH,,1,43596,"Limaville village, Ohio",Ohio,23453,235,32,27,28,11,6
Lincoln,CA,1,1,41474,"Lincoln city, California",95648,37692,46939,2571,5415,5769,6793,5884
Lincoln,NE,2,1,28000,"Lincoln city, Nebraska",68516,30013,280849,45093,41448,34269,20962,14918
Lincolnton,NC,,1,38320,"Lincolnton city, North Carolina",28092,20801,10678,931,1629,1198,1187,825
Lincolnwood,IL,,1,43744,"Lincolnwood village, Illinois",60712,40990,12539,623,1309,1326,1460,1617
Lindale,,,1,,,,,,,,,,
Linden,NJ,1,,40440,"Lindenwold borough, New Jersey",07036,23265,17354,1573,2845,2156,1531,872
Lindon,UT,1,,45090,"Lindon city, Utah",84042,28514,10826,1356,929,1294,696,392
Lisbon,CT,1,1,,,06351,,,,,,,
Lithia Springs,GA,1,,46832,"Lithia Springs CDP, Georgia",30122,23992,17216,1993,2511,2929,715,635
Little Elm,TX,,1,43012,"Little Elm city, Texas",75068,34533,42889,3039,6433,9029,1976,776
Little Rock,AR,2,1,41000,"Little Rock city, Arkansas",72117,34546,198135,17966,30471,26432,15852,11195
Littleton,CO,1,,45255,"Littleton city, Colorado",80123,44581,47035,3739,7188,6129,4437,3669
Littleton,NH,1,1,42500,"Littleton CDP, New Hampshire",03561,28417,4604,274,594,750,444,299
Live Oak,FL,,1,40875,"Live Oak city, Florida",42097,19634,6888,755,1132,927,555,509
Livermore,CA,1,1,41992,"Livermore city, California",94550,50470,89027,5991,12280,11681,6793,4718
Liverpool,NY,1,,42884,"Liverpool village, New York",13090,35000,2174,108,325,215,282,234
Livingston,TX,,1,43132,"Livingston town, Texas",77351,22054,5046,496,546,684,464,342
Livonia,MI,1,,49000,"Livonia city, Michigan",48150,36906,94567,7169,11889,10427,9673,8786
Lockport,NY,1,,43082,"Lockport city, New York",14094,25912,20580,1696,3008,2585,1780,1304
Lodi,CA,1,1,42202,"Lodi city, California",95240,26864,65006,5885,8764,8137,4987,4181
Lodi,NJ,1,,41100,"Lodi borough, New Jersey",07644,30101,24498,2548,4026,3495,1855,1581
Logan,UT,1,1,54990,"North Logan city, Utah",84341,30669,10457,1929,1217,1240,483,451
Logansport,IN,1,,44658,"Logansport city, Indiana",46947,19556,18141,1648,2397,2489,1434,1261
Loganville,GA,1,1,47196,"Loganville city, Georgia",30052,25537,11665,1208,1427,1789,960,857
Lompoc,CA,1,,42524,"Lompoc city, California",93436,22379,43511,4426,6795,5578,2671,2192
London,KY,,1,47476,"London city, Kentucky",40744,23391,8020,752,1208,955,707,597
Londonderry,NH,1,,43140,"Londonderry CDP, New Hampshire",03053,39425,11465,983,1043,1414,959,598
Lone Tree,CO,1,,45955,"Lone Tree city, Colorado",80124,67428,14209,949,2253,1765,1183,508
Long Beach,CA,,2,43000,"Long Beach city, California",90716,31114,468883,49868,80374,64274,31785,19701
Long Island City,NY,1,,,,11101,,,,,,,
Longmont,CO,1,1,45970,"Longmont city, Colorado",80501,34440,93244,8131,11659,13004,7883,5458
Longview,TX,1,1,43888,"Longview city, Texas",75605,25705,82256,8076,12074,9711,6177,5793
Longview,WA,1,1,40270,"Longview Heights CDP, Washington",98632,33573,3619,541,403,362,386,81
Lorain,OH,1,,44856,"Lorain city, Ohio",44053,20817,63773,6590,7981,7743,5565,4602
Los Angeles,CA,5,1,39612,"Lake Los Angeles CDP, California",90017,14748,11469,940,1399,1324,847,450
Los Banos,CA,1,,44028,"Los Banos city, California",93635,20971,38119,3371,5157,5168,1839,1601
Los Lunas,NM,1,1,43370,"Los Lunas village, New Mexico",87031,24770,15428,1133,1904,2085,1645,800
Louisville,CO,1,1,46355,"Louisville city, Colorado",80027,49928,20705,1263,2314,2941,1540,1311
Louisville,KY,5,,48006,"Louisville/Jefferson County metro government (balance), Kentucky",40207,29681,617032,57275,91333,76984,51892,37518
Lovejoy,GA,1,,47616,"Lovejoy city, Georgia",30250,19257,6484,438,1610,889,167,65
Loveland,CO,1,1,46465,"Loveland city, Colorado",80537,33778,75395,6242,9878,9816,8187,6053
Lowell,,,1,,,,,,,,,,
Lubbock,TX,2,1,45000,"Lubbock city, Texas",79413,26594,250415,47756,38229,27947,16178,13397
Ludington,MI,1,,49640,"Ludington city, Michigan",49431,28689,8057,608,864,901,927,945
Lufkin,TX,1,1,45072,"Lufkin city, Texas",75901,23134,35874,3746,5536,3933,2989,2734
Lumberton,NC,,1,39700,"Lumberton city, North Carolina",23858,19489,21198,2014,3083,2469,1725,1501
Lumberton,NJ,,1,,,08048,,,,,,,
Lutz,FL,,1,41775,"Lutz CDP, Florida",33549,40782,21456,1224,2356,2820,2434,1182
Lynchburg,VA,1,1,47672,"Lynchburg city, Virginia",24502,22972,80131,20142,10777,7004,5806,5446
Lynnwood,WA,,1,49940,"North Lynnwood CDP, Washington",98036,29862,21608,2398,4678,3425,1234,578
Macedon,NY,,1,44149,"Macedon CDP, New York",14502,31198,1984,103,168,193,195,371
Macedonia,OH,1,,45976,"Macedonia city, Ohio",44056,42719,11808,752,1131,1512,1294,913
Machesney Park,IL,1,1,45726,"Machesney Park village, Illinois",61115,27392,22906,2021,2975,2937,2150,1040
Macomb Township,MI,1,,,,48044,,,,,,,
Macon,GA,1,2,49008,"Macon-Bibb County, Georgia",31206,24409,153490,15709,20707,17864,13309,9448
Madera,CA,1,1,45022,"Madera city, California",93637,16610,64362,7048,9218,9053,3264,2482
Madison,AL,1,1,45784,"Madison city, Alabama",35757,45299,48275,3954,6330,6753,3105,2075
Madison,GA,,1,49196,"Madison city, Georgia",30650,30107,4041,238,410,262,417,401
Madison,IN,,1,45990,"Madison city, Indiana",47250,23334,11890,1173,1563,1449,1289,1021
Madison,MS,1,1,44520,"Madison city, Mississippi",39110,49209,25522,1674,2250,3544,1982,1407
Madison,TN,1,1,45320,"Madisonville city, Tennessee",37115,29251,4903,407,581,528,656,501
Madison,WI,2,,48000,"Madison city, Wisconsin",53704,36372,252086,54036,47979,30217,16737,11779
Madison Heights,MI,1,1,50560,"Madison Heights city, Michigan",48071,28642,30226,3012,5307,4161,2333,1621
Madison Heights,VA,,1,48520,"Madison Heights CDP, Virginia",24572,22743,11483,904,1401,1356,1167,1053
Madisonville,KY,,1,49368,"Madisonville city, Kentucky",42431,23656,19138,1432,2688,2161,1750,1403
Magnolia,TX,1,,46056,"Magnolia city, Texas",77354,24667,2207,245,266,244,230,93
Mahwah,NJ,1,,,,07430,,,,,,,
Manahawkin,NJ,,1,42930,"Manahawkin CDP, New Jersey",08050,35108,2140,141,156,269,229,149
Manassas,VA,2,,48968,"Manassas Park city, Virginia",20109,31420,16423,1413,2490,3044,846,489
Manchester,CT,1,1,44690,"Manchester CDP, Connecticut",06042,31129,29899,2561,6101,3514,2268,1833
Manchester,NH,1,,45140,"Manchester city, New Hampshire",03103,30351,111657,11824,19996,13713,8104,6566
Manchester,NJ,,1,,,08759,,,,,,,
Manchester,TN,1,,45500,"Manchester city, Tennessee",37355,25808,10561,884,1763,1246,1009,669
Manhattan,KS,1,,44250,"Manhattan city, Kansas",66502,26777,55489,20378,9887,4694,2567,2082
Manitowoc,WI,,1,48500,"Manitowoc city, Wisconsin",54220,26632,32798,2644,3649,3843,3274,3485
Mankato,MN,1,,47068,"North Mankato city, Minnesota",56001,35149,13704,976,2007,1795,1051,982
Mansfield,MA,1,,38230,"Mansfield Center CDP, Massachusetts",02048,44481,7892,533,1520,758,525,492
Mansfield,OH,1,,47138,"Mansfield city, Ohio",44906,19584,46638,4805,7174,5829,4147,3707
Mansfield,TX,1,1,46452,"Mansfield city, Texas",76001,38219,67492,5465,7301,11776,3856,2438
Manteca,CA,1,,45484,"Manteca city, California",95336,27130,77073,7176,10636,9809,5472,4078
Mantua,NJ,1,,,,08051,,,,,,,
Maple Grove,MN,1,1,40166,"Maple Grove city, Minnesota",55369,49333,69571,3230,9001,10025,6296,2322
Maple Heights,OH,1,,47306,"Maple Heights city, Ohio",44137,21131,22539,2144,3233,2603,1838,1251
Maple Shade,NJ,,1,,,08003-2046,,,,,,,
Maplewood,MN,1,,40382,"Maplewood city, Minnesota",55109,33392,40387,3050,6549,4878,3241,3297
Maplewood,MO,,1,45830,"Maplewood city, Missouri",93144,31463,8008,770,1960,1064,599,146
Marathon,FL,1,,43000,"Marathon city, Florida",33050,37568,8737,805,891,1019,1265,658
Marble Falls,TX,1,1,46584,"Marble Falls city, Texas",78654,23175,6382,588,696,567,712,646
Marietta,GA,3,1,49756,"Marietta city, Georgia",30062,33020,60410,6985,10575,8690,4317,3253
Marietta,OH,,1,47628,"Marietta city, Ohio",45750,25481,13718,1915,2017,1396,1334,1199
Marion,IL,1,,46916,"Marion city, Illinois",62959,26395,17646,1210,2513,2230,1725,1911
Marion,NC,,1,72600,"West Marion CDP, North Carolina",28752,22013,1403,96,181,173,148,157
Marion,OH,,1,47754,"Marion city, Ohio",43302,18478,36268,3427,5932,4871,3153,2066
Marlborough,MA,1,,38715,"Marlborough city, Massachusetts",01752,40677,39776,3186,5955,5445,3518,2081
Marquette,MI,,1,51900,"Marquette city, Michigan",49855,23345,20932,6995,2905,1619,1566,1374
Marrero,LA,1,,48785,"Marrero CDP, Louisiana",70072,21172,32088,2471,4003,3448,3018,2268
Marshall,TX,,1,46776,"Marshall city, Texas",75672,21277,23315,2505,2937,2801,2130,1695
Martinez,CA,1,,46114,"Martinez city, California",94553,47457,38117,3338,4654,4861,3683,2226
Martinsburg,WV,,1,52060,"Martinsburg city, West Virginia",25401,23593,17497,1724,2559,2071,1390,1112
Marysville,OH,1,1,48160,"Marysville city, Ohio",43040,28292,23509,2207,4164,4014,1449,1014
Marysville,WA,1,,49992,"North Marysville CDP, Washington",98271,34698,176,0,42,0,29,10
Maryville,TN,1,,46380,"Maryville city, Tennessee",37801,30485,28520,2881,3075,3864,2593,2386
Mason,OH,1,,48188,"Mason city, Ohio",45040,49445,32749,2333,2723,4455,2584,2093
Massena,NY,1,,46019,"Massena village, New York",13662,25434,10090,719,1351,1372,992,871
Massillon,OH,1,1,48244,"Massillon city, Ohio",44646,23869,32366,3023,3662,3926,3371,2660
Matamoras,PA,1,,48048,"Matamoras borough, Pennsylvania",18336,37627,2250,201,238,301,254,212
Matteson,IL,1,,47540,"Matteson village, Illinois",60443,35857,19336,1939,2048,2540,1802,1105
Matthews,NC,1,1,41960,"Matthews town, North Carolina",28105,39379,31400,2395,3845,3770,2729,2431
Mattoon,IL,1,,47553,"Mattoon city, Illinois",61938,23587,17597,1633,2245,2067,1519,1726
Mayaguez,PR,1,,,,00682,,,,,,,
Mayfield,KY,,1,50898,"Mayfield city, Kentucky",42066,17540,9940,866,1262,1276,789,777
Mayodan,NC,,1,42060,"Mayodan town, North Carolina",27288,18451,2754,280,339,193,244,316
Maysville,KY,,1,51024,"Maysville city, Kentucky",41056,24412,8797,731,1038,875,933,802
Mcalester,OK,,1,,,74501,,,,,,,
Mcallen,TX,1,1,,,78504,,,,,,,
Mccomb,MS,,1,,,39660,,,,,,,
Mcdonough,GA,1,1,,,30253,,,,,,,
Mchenry,IL,1,,,,60051,,,,,,,
Mckinney,TX,2,2,,,75013,,,,,,,
Mcminnville,OR,,1,,,97128,,,,,,,
Meadville,PA,1,,48360,"Meadville city, Pennsylvania",16335,22777,12949,2199,1616,1572,1335,869
Mebane,,,1,,,,,,,,,,
Mechanicsburg,PA,1,,48376,"Mechanicsburg borough, Pennsylvania",17050,33384,8987,613,1343,1382,783,682
Mechanicsville,VA,1,1,50856,"Mechanicsville CDP, Virginia",23111,37399,37501,2693,4104,4648,4023,2822
Medford,NY,,1,46404,"Medford CDP, New York",11763,36587,24247,2596,3085,2933,2371,1324
Medford,OR,,1,47000,"Medford city, Oregon",97504,25644,80051,6570,11811,9720,7420,6421
Medina,OH,1,,48790,"Medina city, Ohio",44256,32265,26220,1931,3634,3412,2144,1603
Melbourne,FL,1,1,76500,"West Melbourne city, Florida",32904,31394,21471,1685,2351,2467,2258,1991
Memphis,TN,5,1,48000,"Memphis city, Tennessee",38104,24243,653248,69496,102654,79915,47459,32730
Menomonee Falls,WI,1,,51000,"Menomonee Falls village, Wisconsin",53051,43604,36784,2185,4107,4399,3267,3844
Mentor,OH,1,1,49056,"Mentor city, Ohio",44060,35902,47062,3330,4597,5023,5887,4333
Merced,CA,1,1,81312,"University of California-Merced CDP, California",95341,-666666666,0,0,0,0,0,0
Meridian,ID,1,2,52120,"Meridian city, Idaho",83642,32585,97008,6642,12878,14531,7429,4357
Meridian,MS,,1,46640,"Meridian city, Mississippi",39301,22277,38602,3573,5591,4209,3102,2911
Merriam,KS,1,,46000,"Merriam city, Kansas",66202,34291,11243,1083,1783,1736,1093,779
Merrillville,IN,1,1,48528,"Merrillville town, Indiana",46410,28381,35032,3276,4664,4441,2785,2501
Merrimack,NH,1,,21780,"East Merrimack CDP, New Hampshire",03054,40109,4148,223,811,625,310,435
Merritt Island,FL,1,,44275,"Merritt Island CDP, Florida",32953,36318,36797,2887,3426,3519,4547,3978
Mesa,AZ,6,2,65280,"Second Mesa CDP, Arizona",85201,11172,1736,209,308,111,110,76
Mesquite,TX,1,1,23278,"El Mesquite CDP, Texas",75150,-666666666,0,0,0,0,0,0
Metairie,LA,,1,50115,"Metairie CDP, Louisiana",70002,35972,143481,9560,23025,17542,14835,12278
Methuen,MA,1,,40710,"Methuen Town city, Massachusetts",01844,34390,50019,5301,5715,6705,4495,3055
Miami,FL,10,,45175,"Miami Shores village, Florida",33133,47913,10676,1340,783,1743,846,573
Michigan City,IN,,1,48798,"Michigan City city, Indiana",46360,20324,31251,2746,5224,3843,2403,2017
Middleburg,FL,1,,45350,"Middleburg CDP, Florida",32068,21997,13431,1135,1771,1164,1236,546
Middletown,CT,1,,47290,"Middletown city, Connecticut",06457,37412,46473,6838,7115,5685,3587,3150
Middletown,DE,1,1,47030,"Middletown town, Delaware",19709,36416,21250,1421,1903,3068,1744,1551
Middletown,NY,1,1,47042,"Middletown city, New York",10940,26975,27644,2392,3914,3588,2109,1759
Middletown,RI,1,,,,02842,,,,,,,
Midland,MI,1,1,53780,"Midland city, Michigan",48642,36060,41963,4121,5607,5207,3330,3746
Midland,TX,1,1,48072,"Midland city, Texas",79707,40048,135134,13156,23950,17146,7784,6547
Midlothian,VA,1,,,,23112,,,,,,,
Midwest City,OK,1,1,48350,"Midwest City city, Oklahoma",73110,24375,57292,4943,9471,6370,4888,3604
Milan,TN,,1,48660,"Milan city, Tennessee",38358,21842,7703,605,759,1008,873,569
Milford,CT,,1,47515,"Milford city (balance), Connecticut",06460,47242,52349,3371,7123,6333,5597,4087
Milford,MA,,1,41200,"Milford CDP, Massachusetts",01757,35737,25656,1747,3689,3608,2180,1539
Milford,OH,1,,50176,"Milford city, Ohio",45150,33040,6861,380,857,871,505,875
Mill Creek,WA,,1,45865,"Mill Creek city, Washington",98012,49630,20164,1806,3182,2416,1589,1507
Milledgeville,GA,,1,51492,"Milledgeville city, Georgia",31061,15168,18813,6080,2162,1867,1139,1002
Millington,TN,,1,49060,"Millington city, Tennessee",38053,26837,10720,935,1708,857,1181,723
Millsboro,DE,,1,47940,"Millsboro town, Delaware",19966,23895,4238,248,472,708,452,412
Milltown,NJ,1,,46620,"Milltown borough, New Jersey",08850,39504,6993,551,429,1129,572,446
Millville,NJ,,1,46680,"Millville city, New Jersey",08332,25380,27950,2193,3390,3304,2247,2168
Milpitas,CA,1,,47766,"Milpitas city, California",95035,43551,77457,5507,14061,12171,5072,4201
Milwaukee,WI,2,,75125,"South Milwaukee city, Wisconsin",53207,27292,21089,1523,2797,2671,1693,1786
Minneapolis,MN,1,,43000,"Minneapolis city, Minnesota",55413,37071,416021,56703,91953,56704,24983,14667
Minot,ND,1,,53380,"Minot city, North Dakota",58701,34691,48304,6596,9582,5454,3198,3013
Mira Loma,CA,1,,,,91752,,,,,,,
Miramar,FL,1,,45975,"Miramar city, Florida",33027,27053,138168,13318,19697,21831,8451,5469
Mishawaka,IN,1,1,49932,"Mishawaka city, Indiana",46545,24028,48926,4997,8463,5741,4300,3314
Mission,TX,1,,48772,"Mission Bend CDP, Texas",78572,23365,39291,5402,5355,5375,2665,1069
Mission Viejo,CA,1,,48256,"Mission Viejo city, California",92692,48616,96124,7332,10261,11574,10009,8345
Missoula,MT,1,1,23200,"East Missoula CDP, Montana",59808,26693,2132,249,403,232,214,93
Missouri City,TX,1,1,48804,"Missouri City city, Texas",77459,38799,73573,6524,9519,9254,6306,2856
Mobile,AL,2,3,50000,"Mobile city, Alabama",36575,26023,191485,19750,29332,22726,17674,12980
Mocksville,NC,,1,43720,"Mocksville town, North Carolina",27028,21730,5184,568,522,598,427,498
Modesto,CA,2,,48354,"Modesto city, California",95351,26458,211336,20023,30379,26365,17124,12137
Mohegan Lake,NY,1,,,,10547,,,,,,,
Moline,IL,,1,22073,"East Moline city, Illinois",61265,22947,21373,1640,2959,2823,1920,2102
Monett,MO,,1,49196,"Monett city, Missouri",65708,21702,8917,896,1256,1146,771,575
Monmouth Junction,NJ,1,,47190,"Monmouth Junction CDP, New Jersey",08852,50962,3302,270,112,811,137,138
Monroe,GA,1,,52192,"Monroe city, Georgia",30655,16671,13370,1511,1807,1958,953,708
Monroe,LA,1,1,80955,"West Monroe city, Louisiana",71202,21325,12756,1090,1965,1347,1136,1183
Monroe,MI,,1,55020,"Monroe city, Michigan",48161,24865,19947,1756,2852,2570,1404,1317
Monroe,NC,,1,43920,"Monroe city, North Carolina",28110,21004,34679,3734,4527,4892,2614,1852
Monroe,NY,1,,47988,"Monroe village, New York",10950,39725,8578,928,1078,1118,461,408
Monroe,WA,,1,46725,"Monroe North CDP, Washington",98272,47584,1744,59,166,231,257,66
Monroeville,,,1,,,,,,,,,,
Monrovia,CA,1,,48648,"Monrovia city, California",91016,37260,37006,3305,4843,5752,2982,1994
Monterey Park,CA,1,,48916,"Monterey Park Tract CDP, California",91755,12020,291,44,12,0,0,0
Montgomery,AL,2,1,51000,"Montgomery city, Alabama",36111,27172,200156,21442,29864,25312,15734,11700
Monticello,MN,1,,43774,"Monticello city, Minnesota",55362,27292,13439,886,2181,1753,887,771
Monticello,NY,1,,48175,"Monticello village, New York",12701,17820,6476,264,1105,934,675,447
Montrose,CO,1,,51745,"Montrose city, Colorado",81401,25802,19096,1554,2331,1827,2549,1748
Montville,NJ,1,,,,07045,,,,,,,
Monument,CO,1,,51800,"Monument town, Colorado",80132,38060,7065,544,799,921,299,231
Moore,OK,1,1,49250,"Mooreland town, Oklahoma",73160,26549,1537,108,248,236,109,103
Mooresville,IN,,1,50976,"Mooresville town, Indiana",46158,25679,9604,999,1139,911,1008,769
Mooresville,NC,,1,44220,"Mooresville town, North Carolina",28117,31993,37165,3136,5679,5456,2421,1852
Moreno Valley,CA,2,1,49270,"Moreno Valley city, California",92551,20650,205034,24884,32642,27076,11076,5717
Morgan Hill,CA,1,,49278,"Morgan Hill city, California",95037,50865,43876,3372,4508,6027,3569,2188
Morganton,NC,,1,44400,"Morganton city, North Carolina",28655,24239,16466,1388,1713,2140,1785,1741
Morganville,NJ,1,,48030,"Morganville CDP, New Jersey",07751,52013,5041,373,409,653,576,202
Morrison,CO,1,,52075,"Morrison town, Colorado",80465,40785,388,5,26,18,56,141
Morristown,TN,1,1,50280,"Morristown city, Tennessee",37814,18569,29547,2799,3789,3987,2699,2233
Morrow,GA,1,,53004,"Morrow city, Georgia",30260,19556,7238,1205,821,988,384,285
Moses Lake,WA,1,,47245,"Moses Lake city, Washington",98837,24860,22663,2612,3334,2655,1705,1556
Moultrie,GA,1,1,53060,"Moultrie city, Georgia",31768,18752,14109,1516,1729,1855,1002,689
Mount Airy,NC,,1,44800,"Mount Airy city, North Carolina",27030,25594,10227,698,1147,983,1234,1459
Mount Laurel,NJ,1,,,,08054,,,,,,,
Mount Pleasant,MI,1,,56020,"Mount Pleasant city, Michigan",48858,19428,25691,11982,3073,1751,1126,1096
Mount Pleasant,SC,1,2,48535,"Mount Pleasant town, South Carolina",29464,54285,83700,3943,11910,11695,8004,5199
Mount Pleasant,TX,1,1,49800,"Mount Pleasant city, Texas",75455,18366,16100,1689,2030,1844,1062,912
Mount Pocono,PA,,1,51912,"Mount Pocono borough, Pennsylvania",18344,25832,3079,90,440,453,229,343
Mount Prospect,IL,1,,51089,"Mount Prospect village, Illinois",60056,37639,55127,3402,6937,8129,4906,4449
Mount Vernon,IL,,1,51180,"Mount Vernon city, Illinois",62864,25980,14804,1258,2073,1555,1465,1573
Mount Vernon,OH,,1,53102,"Mount Vernon city, Ohio",43050,22321,16669,2300,2289,1566,1523,1574
Mount Vernon,WA,,1,47560,"Mount Vernon city, Washington",98273,24782,34504,3226,5075,4110,3326,2133
Mountain Home,AR,1,1,47390,"Mountain Home city, Arkansas",72653,26253,12303,767,1826,759,1810,2105
Mt Sterling,KY,,1,,,40353,,,,,,,
Mt. Dora,FL,,1,,,32757,,,,,,,
Mukwonago,WI,1,,55050,"Mukwonago village, Wisconsin",53149,36888,7833,625,845,1363,721,387
Muncie,IN,,1,51876,"Muncie city, Indiana",47304,19306,69164,19267,7974,6282,5341,4307
Mundelein,IL,1,,51349,"Mundelein village, Illinois",60060,38020,31683,2506,5117,4349,2349,1610
Munhall,PA,,1,52320,"Munhall borough, Pennsylvania",15120-5000,28675,11229,800,1242,1399,1210,1081
Murfreesboro,TN,1,1,51560,"Murfreesboro city, Tennessee",37129,29851,130968,22483,22194,17453,7438,4420
Murray,,,1,,,,,,,,,,
Murray,UT,,1,53230,"Murray city, Utah",84123,33023,49118,4657,8296,6195,4159,3806
Murrells Inlet,SC,1,,48985,"Murrells Inlet CDP, South Carolina",29576,34623,9396,367,628,862,1974,1013
Murrieta,CA,1,1,50076,"Murrieta city, California",92562,32030,111427,10863,13894,15003,6903,6520
Muscle Shoals,AL,,1,53016,"Muscle Shoals city, Alabama",35661,28807,13874,1151,2083,1445,1420,1015
Muskegon,MI,1,1,56360,"Muskegon Heights city, Michigan",49441,14451,10735,1224,1770,1228,577,449
Muskogee,OK,,1,50050,"Muskogee city, Oklahoma",74403,21845,37900,3839,5100,4282,3134,2758
Mustang,OK,,1,50100,"Mustang city, Oklahoma",73064,29921,20735,1752,2622,3005,1698,1283
Myrtle Beach,SC,1,2,51280,"North Myrtle Beach city, South Carolina",29575,39616,15862,611,1231,1477,3950,1677
N. Dartmouth,MA,,1,,,02747,,,,,,,
Nampa,ID,1,1,56260,"Nampa city, Idaho",83651,18951,91663,9845,12839,12395,6644,4554
Nanuet,NY,1,1,49407,"Nanuet CDP, New York",10954,43781,17775,1164,2069,2073,1662,1822
Napa,CA,1,,50258,"Napa city, California",94559,38505,79516,6771,10711,10660,6972,5585
Naperville,IL,1,1,51622,"Naperville city, Illinois",60540,53061,147411,12501,15597,21230,10380,6934
Naples,FL,2,2,47625,"Naples city, Florida",34109,100388,21564,690,1064,797,5019,6371
Nashua,NH,2,1,50260,"Nashua city, New Hampshire",03060,38435,88606,7938,13401,10718,7522,5875
Nashville,TN,3,1,52006,"Nashville-Davidson metropolitan government (balance), Tennessee",37204,33139,660062,67052,131539,90904,45311,30352
Natick,MA,1,,,,01760,,,,,,,
Neosho,MO,,1,51572,"Neosho city, Missouri",64850,19121,12009,1747,1293,1538,1219,612
Neptune,NJ,1,,49920,"Neptune City borough, New Jersey",07753,37334,4702,383,474,486,486,208
New Albany,IN,1,,52326,"New Albany city, Indiana",47150,26674,36512,3623,5417,4638,3123,2467
New Albany,MS,,1,51000,"New Albany city, Mississippi",38652,21095,8714,561,1487,1163,708,689
New Bern,NC,,1,46340,"New Bern city, North Carolina",28562,27224,29958,2464,4974,3297,3257,2668
New Braunfels,TX,1,1,50820,"New Braunfels city, Texas",78130,31702,74587,6041,10833,10758,6483,4586
New Carrollton,MD,,1,55400,"New Carrollton city, Maryland",20706-2905,29044,12932,1125,2040,1704,812,426
New Castle,DE,1,1,50800,"New Castle city, Delaware",19720,41464,5359,326,777,633,556,480
New Freedom,PA,1,,53568,"New Freedom borough, Pennsylvania",17349,41756,4618,311,343,556,720,187
New Hartford,CT,1,,51420,"New Hartford Center CDP, Connecticut",06057,28175,1061,22,175,168,113,25
New Hartford,NY,1,1,50298,"New Hartford village, New York",13413,39671,1731,149,150,228,190,157
New Haven,CT,,1,52000,"New Haven city, Connecticut",06513,25818,130529,20250,25756,15927,8074,5066
New Hudson,MI,,1,,,48165,,,,,,,
New Iberia,LA,,1,54035,"New Iberia city, Louisiana",70560,20690,29992,2743,3893,3591,2395,1957
New Lenox,IL,,1,52584,"New Lenox village, Illinois",60451,43471,26032,2238,3100,3676,1704,1036
New Milford,CT,1,,52560,"New Milford CDP, Connecticut",06776,31684,6737,607,1043,642,492,494
New Orleans,LA,2,1,55000,"New Orleans city, Louisiana",70117,30177,389648,36245,71550,50954,32124,20412
New Philadelphia,OH,,1,55216,"New Philadelphia city, Ohio",44663,24782,17432,1625,2371,1672,1785,1583
New Port Richey,FL,1,,48525,"New Port Richey East CDP, Florida",34654,23911,10161,838,1298,970,1503,1070
New Rochelle,NY,1,,50617,"New Rochelle city, New York",10805,46679,79205,9205,9456,10261,6522,6503
New Smyrna Beach,FL,1,,48625,"New Smyrna Beach city, Florida",32168,38071,25770,1128,2283,2131,5195,4392
New York,NY,2,,20379,"Dering Harbor village, New York",10010,-666666666,0,0,0,0,0,0
Newark,CA,1,,50916,"Newark city, California",94560,39107,46276,3766,7643,6632,3258,2600
Newark,DE,3,,50670,"Newark city, Delaware",19702,27346,33352,13422,4319,2308,2319,1956
Newark,NJ,1,,19360,"East Newark borough, New Jersey",07103,28048,2665,197,522,334,134,127
Newark,OH,1,,54040,"Newark city, Ohio",43055,24445,49070,5240,6453,5483,4534,3525
Newberry,,,1,,,,,,,,,,
Newburgh,NY,1,1,50034,"Newburgh city, New York",12550,18629,28282,3628,3829,3387,1511,1154
Newington,CT,,1,52210,"Newington CDP, Connecticut",Connecticut,39117,30323,2508,3272,3713,3320,3145
Newnan,GA,1,1,25692,"East Newnan CDP, Georgia",30265,15313,1134,117,166,168,126,45
Newport,TN,,1,53000,"Newport city, Tennessee",37821,15004,6757,362,785,736,728,383
Newport News,VA,1,1,56000,"Newport News city, Virginia",23602,26993,180145,22043,30478,21395,12827,9467
Newton,NJ,1,1,51930,"Newton town, New Jersey",07460,32566,7895,755,1197,811,580,837
Niagara Falls,NY,1,,51055,"Niagara Falls city, New York",14304,23300,48661,4368,6804,5520,4088,3412
Nicholasville,KY,,1,56136,"Nicholasville city, Kentucky",40356,22258,29977,2615,4272,4208,2320,1575
Niles,IL,2,,53000,"Niles village, Illinois",60714,29826,29640,1989,3724,3513,3189,4422
Noblesville,IN,1,1,54180,"Noblesville city, Indiana",46060,35635,61558,5941,9212,9311,4115,2702
Nogales,AZ,1,,49640,"Nogales city, Arizona",85621,16513,20288,2011,2126,2126,1848,1399
Norcross,GA,1,,55776,"Norcross city, Georgia",30093,22572,16369,1392,2725,3077,585,215
Norfolk,VA,1,1,57000,"Norfolk city, Virginia",23502,28508,245592,44296,47350,27647,15251,10677
Normal,IL,1,,53234,"Normal town, Illinois",61761,27686,54808,17903,6646,5523,2898,2501
Norman,OK,1,1,52500,"Norman city, Oklahoma",73069,30449,121090,26726,18762,14181,8488,5922
Norristown,PA,1,,54656,"Norristown borough, Pennsylvania",19403,24015,34490,3015,6498,4588,2039,1709
